program_title,program_type,dept_id
Computer Science,BA,CSCI
Computer Science,MA,CSCI
Economics,BA,ECON
Economics,BA/MA,ECON
Economics,MA,ECON
Accounting,BS,ECON
Accounting,MS,ECON
Chemistry,BA,CHEM
Chemistry,MA,CHEM
Chemistry,PhD,CHEM
Mathematics,BA,MATH
Mathematics,BA/MA,MATH
Pure Mathematics,MA,MATH
Statistics,BA,MATH
Statistics and Applied Mathematics,BA,MATH
Statistics and Applied Mathematics,BA/MA,MATH
Biopsychology and Behavioral Neuroscience,PhD,PSYCH
Psychology,BA,PSYCH
Psychology,MA,PSYCH
Psychology with Neuroscience Concentration,BA,PSYCH
Philosophy,BA,PHILO
Anthropology,BA,ANTHRO
Anthropology,BA/MA,ANTHRO
Anthropology,MA,ANTHRO
Film,BA,FM
Physics,BA,PHYS
Physics,MA,PHYS
Physics,BA/MA,PHYS
Physics,PhD,PHYS
Social Research,MS,SOC
Sociology,BA,SOC
Sociology and Social Research,BA/MS,SOC
Classical Studies,BA,CLA
Women and Gender Studies,BA,WGS
English Language Arts,BA,ENG
